84030	31.73
84035	4.40
84067	49.21
84080	21.33
84085	22.80
84092	38.87
84103	9.98
84110	23.91
84113	16.49
84124	53.32
84125	3.73
84130	17.60
84139	39.40
84140	19.44
84143	1.89
84165	28.20
84173	42.37
84176	11.84
84181	17.39
84215	9.07
84219	16.30
84222	2.61
84223	13.77
84224	1.17
84233	10.22
84236	19.62
84240	1.95
84243	7.36
84244	7.73
84263	2.12
84265	22.12
84266	5.44
84275	1.84
84279	2.33
84282	15.13
84299	7.52
84310	47.60
84316	10.75
84318	30.02
84319	12.39
84321	19.89
84328	11.02
84332	8.47
84335	10.05
84341	1.49
84352	7.24
84369	30.24
84370	86.92
84379	17.98
84381	3.51
84384	11.99
84403	0.89
84405	2.35
84463	3.03
84470	0.19
84567	3.73
84624	7.52
84628	7.75
84655	10.32
84656	1.57
84669	6.68
84810	4.73
84816	2.55
84820	1.39
84825	0.17
84834	3.88
84837	1.33
84845	1.33
84846	1.52
84850	1.16
84852	1.39
84853	0.50
84854	0.75
84855	1.68
84863	17.99
84866	6.14
84879	1.83
84958	16.11
84967	12.09
84968	7.80
84979	10.55
84980	6.58
84984	8.06
84989	6.17
84994	8.71
85001	23.39
85007	4.65
85025	0.21
85072	0.59
85074	2.95
85075	36.13
85080	2.83
85128	25.75
86053	9.67
86066	6.48
86219	2.50
86233	7.83
86639	4.65
86656	12.22
86660	14.43
86663	10.88
86690	6.28
86712	3.49
86721	2.76
86730	8.94
86743	17.92
86802	14.55
86806	3.78
86810	11.40
86820	5.84
86832	48.88
86834	5.29
86861	16.92
86897	1.44
86914	9.97
86940	2.81
86973	0.99
86984	5.87
86985	11.39
86997	4.90
87008	1.99
87014	17.44
87034	0.82
87039	3.87
87058	16.75
87063	10.98
87071	4.61
87077	14.80
87081	6.54
87084	4.85
87087	11.53
87097	9.49
87109	21.57
87124	14.63
87379	35.23
87380	1.85
87385	2.43
87391	3.38
87392	2.39
87393	1.68
87396	4.04
87397	0.89
87400	0.23
87401	12.63
87495	3.70
87932	23.12
87935	1.28
87944	4.41
87972	9.45
87973	11.46
87975	5.95
88285	9.26
88290	5.05
88314	17.34
88316	4.08
88320	1.54
88321	2.86
88329	6.94
88333	21.28
88335	30.44
88345	1.50
88347	0.33
88349	1.47
88387	4.14
88389	5.34
88392	0.73
88411	3.71
88415	1.75
88422	0.13
88429	6.64
88430	1.19
88446	3.01
88458	20.14
88463	1.98
88474	0.86
88477	0.12
88489	32.83
88502	15.42
88504	23.02
88513	0.08
88523	15.53
88532	26.75
88545	15.27
88546	1.80
88552	0.87
88556	47.29
88569	15.72
88575	35.72
88594	20.46
88598	2.15
88601	0.54
88603	0.50
88608	19.17
88610	3.75
88618	11.39
88619	2.44
88620	10.19
88624	25.11
88627	10.14
88631	16.01
88653	3.91
88659	7.64
88661	13.22
88665	15.41
88667	17.52
88668	1.33
88692	7.36
88713	6.54
88721	10.52
88732	4.73
88733	4.78
88734	5.15
88741	13.67
88748	8.25
88831	22.71
88835	25.56
88838	21.52
88843	10.08
88849	1.54
88853	42.67
88856	3.32
88857	20.77
88860	15.07
88870	25.30
88873	17.15
88876	1.39
88878	0.37
88879	0.40
88887	14.48
88888	50.79
88892	1.00
88912	1.12
88921	2.45
88933	0.07
88942	5.24
88944	2.20
88945	6.88
88960	4.85
88963	0.37
88974	6.76
88979	0.53
88990	8.83
88991	2.13
89012	0.55
89016	0.19
89017	1.61
89024	0.48
89029	1.65
89034	1.67
89041	14.38
89044	1.30
89046	1.31
89062	3.39
89068	3.10
89069	3.19
89072	0.38
89073	0.24
89079	4.32
89084	0.07
89096	6.67
89099	1.26
89105	1.62
89118	4.27
89121	2.56
89124	14.82
89139	0.79
89140	0.24
89142	1.61
89148	10.81
89150	11.86
89154	3.92
89161	0.57
89165	1.75
89168	0.41
89172	14.98
89185	9.27
89192	6.15
89193	0.31
89200	0.26
89201	5.08
89218	24.98
89234	2.36
89262	15.11
89266	14.61
89281	11.79
89286	15.02
89311	20.77
89313	13.11
89314	2.39
89319	7.04
89328	12.52
89351	9.96
89353	27.30
89355	6.29
89379	0.61
89387	13.39
89388	24.40
89393	3.19
89394	0.12
89400	5.12
89547	33.22
89778	14.24
89785	5.92
89789	6.69
89795	0.71
89797	6.24
89815	0.71
89824	14.90
89948	1.79
